ID,Bird species,Gender,Purchase Date,Purchase Cost,Purchased From,Weight at Purchase,Age at Purchase,Hatched Date,Remark,Breeding at Purchase
,RED LORI ,FEMALE,2019,35000,,,,,,
,RED LORI ,FEMALE,2023,42500,,,,,,
,RED LORI ,MALE,2019,35000,,,,,,
,RED LORI ,MALE,2023,42500,,,,,,
,RED LORI ,MALE,2019,35000,,,,,,
,RED LORI ,MALE,2023,42500,,,,,,
,ROSENBERG LORI ,FEMALE,2022,100000,,,,,,
,ROSENBERG LORI ,FEMALE,2022,100000,,,,,,
,ROSENBERG LORI ,MALE,2022,100000,,,,,,
,ROSENBERG LORI ,MALE,2022,100000,,,,,,
,SCALLY BREASTED LORI ,FEMALE,2024,90000,,,,,,
,SCALLY BREASTED LORI ,FEMALE,2024,35000,,,,,,
,SCALLY BREASTED LORI ,FEMALE,2024,20000,,,,,,
,SCALLY BREASTED LORI ,FEMALE,2024,20000,,,,,,
,SCALLY BREASTED LORI ,MALE,2024,90000,,,,,,
,SCALLY BREASTED LORI ,MALE,2024,10000,,,,,,
,SCALLY BREASTED LORI ,MALE,2024,10000,,,,,,
,SCALLY BREASTED LORI ,MALE,2024,20000,,,,,,
,SCARLET MACAW ,FEMALE,2023,1000000,,,,,,
,SCARLET MACAW ,FEMALE,2023,1000000,,,,,,
,SCARLET MACAW ,FEMALE,2023,1000000,,,,,,
,SCARLET MACAW ,FEMALE,2023,600000,,,,,,
,SCARLET MACAW ,FEMALE,2023,775000,,,,,,
,SCARLET MACAW ,FEMALE,2024,800000,,,,,,
,SCARLET MACAW ,MALE,2023,1000000,,,,,,
,SCARLET MACAW ,MALE,2023,1000000,,,,,,
,SCARLET MACAW ,MALE,2023,1000000,,,,,,
,SCARLET MACAW ,MALE,2023,1000000,,,,,,
,SCARLET MACAW ,MALE,2023,600000,,,,,,
,SCARLET MACAW ,MALE,2023,775000,,,,,,
,SEVERE MACAW ,FEMALE,2023,90000,,,,,,
,SEVERE MACAW ,FEMALE,2022,75000,,,,,,
,SEVERE MACAW ,MALE,2023,90000,,,,,,
,SEVERE MACAW ,MALE,2022,75000,,,,,,
,SOUTHERN MEALY AMAZON ,FEMALE,2023,65000,,,,,,
,SOUTHERN MEALY AMAZON ,MALE,2023,65000,,,,,,
,STELLA LORI ,FEMALE,2023,170000,,,,,,
,STELLA LORI ,FEMALE,2023,170000,,,,,,
,STELLA LORI ,MALE,2023,170000,,,,,,
,TIMNEH GREY PARROT ,FEMALE,2019,37500,,,,,,
,TIMNEH GREY PARROT ,FEMALE,2019,37500,,,,,,
,TIMNEH GREY PARROT ,FEMALE,2016,22500,,,,,,
,TIMNEH GREY PARROT ,FEMALE,2014,22500,,,,,,
,TIMNEH GREY PARROT ,MALE,2014,22500,,,,,,
,TIMNEH GREY PARROT ,MALE,2016,22500,,,,,,
,TIMNEH GREY PARROT ,MALE,2019,37500,,,,,,
,TIMNEH GREY PARROT ,MALE,2019,37500,,,,,,
,UMBRELLA COCKATOO ,FEMALE,2023,190000,,,,,,
,UMBRELLA COCKATOO ,FEMALE,2023,165000,,,,,,
,UMBRELLA COCKATOO ,MALE,2023,190000,,,,,,
,UMBRELLA COCKATOO ,MALE,2023,165000,,,,,,
,VOILET NECKED LORI ,FEMALE,2020,60000,,,,,,
,VOILET NECKED LORI ,FEMALE,2023,60000,,,,,,
,VOILET NECKED LORI ,FEMALE,2023,67500,,,,2022.0,,
,VOILET NECKED LORI ,MALE,2020,60000,,,,,,
,VOILET NECKED LORI ,MALE,2023,60000,,,,,,
,VOILET NECKED LORI ,MALE,2023,67500,,,,2022.0,,
,WHITE FRONTED PIONUS ,FEMALE,x,,,,,1.0,,
,WHITE FRONTED PIONUS ,FEMALE,x,,,,,1.0,,
,WHITE FRONTED PIONUS ,FEMALE,2023,45000,,,,,,
,WHITE FRONTED PIONUS ,MALE,2023,45000,,,,,,
,WHITE FRONTED PIONUS ,MALE,x,,,,,1.0,,
,WHITE SPECTACALLED AMAZON ,FEMALE,2023,70000,,,,,,
,WHITE SPECTACALLED AMAZON ,FEMALE,,45000,,,,,,
,WHITE SPECTACALLED AMAZON ,FEMALE,,35000,,,,,,
,WHITE SPECTACALLED AMAZON ,FEMALE,,30000,,,,,,
,WHITE SPECTACALLED AMAZON ,MALE,2023,70000,,,,,,
,WHITE SPECTACALLED AMAZON ,MALE,,35000,,,,,,
,WHITE SPECTACALLED AMAZON ,MALE,2024,30000,,,,,,
,WHITE SPECTACALLED AMAZON ,MALE,2024,30000,,,,,,
,YELLOW BACK CHATTERING LORI ,FEMALE,2022,75000,,,,,,
,YELLOW BACK CHATTERING LORI ,FEMALE,2022,75000,,,,,,
,YELLOW BACK CHATTERING LORI ,FEMALE,2022,75000,,,,,,
,YELLOW BACK CHATTERING LORI ,FEMALE,2023,50000,,,,,,
,YELLOW BACK CHATTERING LORI ,MALE,2022,75000,,,,,,
,YELLOW BACK CHATTERING LORI ,MALE,2022,75000,,,,,,
,YELLOW BACK CHATTERING LORI ,MALE,2022,75000,,,,,,
,YELLOW BACK CHATTERING LORI ,MALE,2023,50000,,,,,,
,YELLOW BIBBED LORI ,FEMALE,2020,75000,,,,,,
,YELLOW BIBBED LORI ,MALE,2020,75000,,,,,,
,YELLOW STREAK LORI ,FEMALE,2019,50000,,,,,,
,YELLOW STREAK LORI ,FEMALE,2019,50000,,,,,,
,YELLOW STREAK LORI ,MALE,2019,50000,,,,,,
,YELLOW STREAK LORI ,MALE,2019,50000,,,,,,
